Age,H1,H1_Order,H2,H2_Order,H3,H3_Order,H4,H4_Order,H5,H5_Order,H6,H6_Order,H7,H7_Order,H8,H8_Order,H9,H9_Order
INTEGER,VARCHAR,INTEGER,VARCHAR,INTEGER,VARCHAR,INTEGER,VARCHAR,INTEGER,VARCHAR,INTEGER,VARCHAR,INTEGER,VARCHAR,INTEGER,VARCHAR,INTEGER,VARCHAR,INTEGER
0,0-3,0,0,0,0-3,0,< 25,0,< 25,0,< 20,0,< 5,0,<6 (KiGa-Kinder),0,0-10,0
1,0-3,0,1,1,0-3,0,< 25,0,< 25,0,< 20,0,< 5,0,<6 (KiGa-Kinder),0,0-10,0
2,0-3,0,2,2,0-3,0,< 25,0,< 25,0,< 20,0,< 5,0,<6 (KiGa-Kinder),0,0-10,0
3,3-6,2,3,3,3-18,1,< 25,0,< 25,0,< 20,0,< 5,0,<6 (KiGa-Kinder),0,0-10,0
4,3-6,2,4,4,3-18,1,< 25,0,< 25,0,< 20,0,< 5,0,<6 (KiGa-Kinder),0,0-10,0
5,3-6,2,5,5,3-18,1,< 25,0,< 25,0,< 20,0,5-15,1,<6 (KiGa-Kinder),0,0-10,0
6,6-10,3,6,6,3-18,1,< 25,0,< 25,0,< 20,0,5-15,1,6-10 (Grundschüler:innen),1,0-10,0
7,6-10,3,7,7,3-18,1,< 25,0,< 25,0,< 20,0,5-15,1,6-10 (Grundschüler:innen),1,0-10,0
8,6-10,3,8,8,3-18,1,< 25,0,< 25,0,< 20,0,5-15,1,6-10 (Grundschüler:innen),1,0-10,0
9,6-10,3,9,9,3-18,1,< 25,0,< 25,0,< 20,0,5-15,1,6-10 (Grundschüler:innen),1,0-10,0
10,10-16,4,10,10,3-18,1,< 25,0,< 25,0,< 20,0,5-15,1,10-18 (schulpflichtige Kinder),2,10-20,1
11,10-16,4,11,11,3-18,1,< 25,0,< 25,0,< 20,0,5-15,1,10-18 (schulpflichtige Kinder),2,10-20,1
12,10-16,4,12,12,3-18,1,< 25,0,< 25,0,< 20,0,5-15,1,10-18 (schulpflichtige Kinder),2,10-20,1
13,10-16,4,13,13,3-18,1,< 25,0,< 25,0,< 20,0,5-15,1,10-18 (schulpflichtige Kinder),2,10-20,1
14,10-16,4,14,14,3-18,1,< 25,0,< 25,0,< 20,0,5-15,1,10-18 (schulpflichtige Kinder),2,10-20,1
15,10-16,4,Nicht Kinder,8,3-18,1,< 25,0,< 25,0,< 20,0,15-35,2,10-18 (schulpflichtige Kinder),2,10-20,1
16,16-18,5,Nicht Kinder,8,3-18,1,< 25,0,< 25,0,< 20,0,15-35,2,10-18 (schulpflichtige Kinder),2,10-20,1
17,16-18,5,Nicht Kinder,8,3-18,1,< 25,0,< 25,0,< 20,0,15-35,2,10-18 (schulpflichtige Kinder),2,10-20,1
18,18-25,6,Nicht Kinder,8,18-45,2,< 25,0,< 25,0,< 20,0,15-35,2,18-27 (Junge Erwachsene/ Studenten),3,10-20,1
