JAHR,STATBEZ,KER_GESCH,AGE,Anzahl
INTEGER,INTEGER,VARCHAR,INTEGER,INTEGER
2008,11,W,0,3
2008,11,W,1,3
2008,11,W,2,6
2008,11,W,3,4
2008,11,W,4,5
2008,11,M,5,4
2008,11,W,6,4
2008,11,M,7,4
2008,11,W,9,3
2008,11,M,11,4
2008,11,M,89,3
2008,11,W,12,3
2008,11,W,13,3
2008,11,M,13,3
2008,11,W,86,4
2008,11,W,15,3
2008,11,W,85,3
2008,11,M,16,4
2008,11,W,84,3
2008,11,M,17,3
2008,11,M,18,9
2008,11,M,19,5
2008,11,W,19,4
2008,11,M,81,4
2008,11,M,20,6
2008,11,W,20,3
2008,11,W,80,3
2008,11,M,21,3
2008,11,W,79,3
2008,11,W,22,3
2008,11,M,78,3
2008,11,M,77,3
2008,11,M,24,6
2008,11,W,76,4
2008,11,M,25,4
2008,11,W,25,5
2008,11,W,75,5
2008,11,M,26,3
2008,11,W,74,3
2008,11,M,27,3
2008,11,W,27,3
2008,11,W,73,3
2008,11,M,73,4
2008,11,M,28,3
2008,11,M,72,3
2008,11,M,29,4
2008,11,W,71,4
2008,11,W,30,6
2008,11,W,70,5
2008,11,M,70,3
2008,11,M,31,4
2008,11,M,69,4
2008,11,W,32,3
2008,11,W,68,3
2008,11,M,68,4
2008,11,M,33,3
2008,11,W,33,4
2008,11,W,67,3
2008,11,M,67,6
2008,11,M,34,3
2008,11,M,66,9
2008,11,W,66,8
2008,11,M,35,4
2008,11,M,65,4
2008,11,W,65,5
2008,11,M,36,5
2008,11,W,36,3
2008,11,W,64,3
2008,11,W,37,6
2008,11,W,63,3
2008,11,W,38,3
2008,11,M,38,3
2008,11,W,62,4
2008,11,M,39,4
2008,11,W,61,3
2008,11,W,40,7
2008,11,M,40,4
2008,11,W,60,4
2008,11,M,41,5
2008,11,M,59,11
2008,11,M,42,6
2008,11,W,42,3
2008,11,M,58,3
2008,11,W,43,6
2008,11,M,43,5
2008,11,W,57,7
2008,11,M,57,3
2008,11,W,44,10
2008,11,M,44,3
2008,11,W,56,3
2008,11,M,56,3
2008,11,M,45,5
2008,11,W,45,4
2008,11,M,55,5
2008,11,M,46,3
2008,11,M,54,5
2008,11,W,54,4
2008,11,M,47,9
2008,11,W,47,4
2008,11,M,53,4
2008,11,W,53,5
2008,11,M,48,4
2008,11,W,52,3
2008,11,M,52,4
2008,11,W,49,9
2008,11,M,51,3
2008,11,W,51,6
2008,11,W,50,4
2008,11,M,50,3
2008,12,W,0,8
2008,12,M,0,11
2008,12,W,1,9
2008,12,M,1,10
2008,12,W,2,12
2008,12,M,2,12
2008,12,M,3,11
2008,12,W,3,13
2008,12,W,4,11
2008,12,M,4,10
2008,12,W,96,8
2008,12,W,5,9
2008,12,M,5,3
2008,12,W,95,7
2008,12,W,6,9
2008,12,M,6,16
2008,12,W,94,10
2008,12,M,7,9
2008,12,W,7,6
2008,12,W,93,5
2008,12,M,8,13
2008,12,W,8,6
2008,12,W,92,8
2008,12,W,9,8
2008,12,M,9,6
2008,12,M,91,4
2008,12,W,91,3
2008,12,M,10,8
2008,12,W,10,4
2008,12,W,90,9
2008,12,M,11,11
2008,12,W,11,3
2008,12,M,89,6
2008,12,W,89,13
2008,12,W,12,9
2008,12,M,12,12
2008,12,W,88,11
2008,12,W,13,11
2008,12,M,13,6
2008,12,W,87,8
2008,12,M,14,7
2008,12,W,14,7
2008,12,M,86,3
2008,12,W,86,17
2008,12,M,15,8
2008,12,W,15,8
2008,12,M,85,6
2008,12,W,85,9
2008,12,M,16,9
2008,12,W,16,7
2008,12,W,84,11
2008,12,M,84,4
2008,12,W,17,10
2008,12,M,17,9
2008,12,W,83,18
2008,12,M,83,5
2008,12,M,18,17
2008,12,W,18,19
2008,12,W,82,11
2008,12,M,82,3
2008,12,W,19,13
2008,12,M,19,16
2008,12,M,81,6
2008,12,W,81,9
2008,12,M,20,18
2008,12,W,20,26
2008,12,M,80,8
2008,12,W,80,12
2008,12,M,21,33
2008,12,W,21,16
2008,12,M,79,6
2008,12,W,79,13
2008,12,W,22,11
2008,12,M,22,24
2008,12,M,78,11
2008,12,W,78,18
2008,12,W,23,19
2008,12,M,23,21
2008,12,M,77,10
2008,12,W,77,7
2008,12,M,24,24
2008,12,W,24,31
2008,12,W,76,18
2008,12,M,76,6
2008,12,M,25,21
2008,12,W,25,18
2008,12,M,75,14
2008,12,W,75,6
2008,12,W,26,15
